日期,Close
2007-02,1.967
2007-03,1.954
2007-04,2.078
2007-05,2.3
2007-06,2.495
2007-07,2.665
2007-08,2.532
2007-09,2.626
2007-10,2.71
2007-11,2.55
2007-12,2.583
2008-01,2.352
2008-02,2.455
2008-03,2.42
2008-04,2.511
2008-05,2.622
2008-06,2.693
2008-07,2.51
2008-08,2.52
2008-09,2.1
2008-10,1.983
2008-11,1.492
2008-12,1.375
2009-01,1.519
2009-02,1.508
2009-03,1.54
2009-04,1.64
2009-05,1.6
2009-06,1.633
2009-07,1.53
2009-08,1.515
2009-09,1.395
2009-10,1.435
2009-11,1.457
2009-12,1.555
2010-01,1.482
2010-02,1.497
2010-03,1.5
2010-04,1.44
2010-05,1.4
2010-06,1.413
2010-07,1.36
2010-08,1.2
2010-09,1.196
2010-10,1.27
2010-11,1.45
2010-12,1.549
2011-01,1.43
2011-02,1.4
2011-03,1.362
2011-04,1.43
2011-05,1.469
2011-06,1.51
2011-07,1.6
2011-08,1.45
2011-09,1.276
2011-10,1.375
2011-11,1.325
2011-12,1.29
2012-01,1.269
2012-02,1.295
2012-03,1.272
2012-04,1.285
2012-05,1.21
2012-06,1.23
2012-07,1.176
2012-08,1.188
2012-09,1.172
2012-10,1.13
2012-11,1.137
2012-12,1.17
2013-01,1.195
2013-02,1.215
2013-03,1.308
2013-04,1.236
2013-05,1.337
2013-06,1.42
2013-07,1.53
2013-08,1.7
2013-09,1.692
2013-10,1.63
2013-11,1.685
2013-12,1.69
2014-01,1.65
2014-02,1.58
2014-03,1.597
2014-04,1.548
2014-05,1.51
2014-06,1.59
2014-07,1.61
2014-08,1.62
2014-09,1.76
2014-10,1.64
2014-11,1.592
2014-12,1.61
2015-01,1.482
2015-02,1.59
2015-03,1.548
2015-04,1.575
2015-05,1.537
2015-06,1.506
2015-07,1.45
2015-08,1.135
2015-09,1.15
2015-10,1.2
2015-11,1.15
2015-12,1.015
2016-01,0.915
2016-02,0.855
2016-03,0.86
2016-04,0.86
2016-05,0.832
2016-06,0.76
2016-07,0.69
2016-08,0.675
2016-09,0.717
2016-10,1.01
2016-11,1.128
2016-12,1.21
2017-01,1.16
2017-02,1.07
2017-03,1.115
2017-04,1.105
2017-05,1.04
2017-06,1.08
2017-07,1.035
2017-08,1.025
2017-09,1.035
2017-10,1.04
2017-11,1.0
2017-12,0.948
2018-01,1.037
2018-02,1.04
2018-03,0.995
2018-04,1.02
2018-05,1.0
2018-06,0.94
2018-07,0.87
2018-08,0.84
2018-09,0.89
2018-10,0.9
2018-11,0.97
2018-12,0.865
2019-01,0.87
2019-02,0.83
2019-03,0.77
2019-04,0.75
2019-05,0.71
2019-06,0.7
2019-07,0.69
2019-08,0.68
2019-09,0.72
2019-10,0.69
2019-11,0.663
2019-12,0.652
2020-01,0.577
2020-02,0.507
2020-03,0.48
2020-04,0.47
2020-05,0.465
2020-06,0.39
2020-07,0.365
2020-08,0.385
2020-09,0.405
2020-10,0.31
2020-11,0.24
2020-12,0.295
2021-01,0.305
2021-02,0.335
2021-03,0.44
2021-04,0.415
2021-05,0.435
2021-06,0.415
2021-07,0.39
2021-08,0.415
2021-09,0.44
2021-10,0.54
2021-11,0.55
2021-12,0.715
2022-01,0.72
2022-02,0.74
2022-03,0.98
2022-04,1.06
2022-05,1.165
2022-06,1.205
2022-07,1.115
2022-08,1.235
2022-09,1.695
2022-10,1.755
2022-11,1.495
2022-12,1.335
2023-01,1.205
2023-02,1.175
2023-03,1.255
2023-04,1.215
2023-05,1.16
2023-06,1.165
2023-07,1.153
2023-08,1.175
2023-09,1.226
2023-10,1.295
2023-11,1.285
2023-12,1.2
2024-01,1.189
2024-02,1.215
2024-03,1.435
2024-04,1.655
